Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2014,Human Resources and Development,Human Services,Administration,Travel and Training,Judgments,9700.00,General Fund
2014,Human Resources and Development,Human Services,Administration,Travel and Training,Travel and Training  (Out of State),18335.00,General Fund
2014,Human Resources and Development,Human Services,Administration,Travel and Training,Travel and Training  (In State),14165.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Dental Insurance,15210.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Health Insurance,204030.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Medicare,28950.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Misc. Additional Comp,13000.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Pensions,130325.00,General Fund
2015,General Government,Executive,Executive,Salaries and Wages,Misc. Additional Comp,10910.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Permanent Salaries/Wages,825035.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Salaries and Wages,Temporary Salaries/Wages,1158495.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Administration & Gen Supplies,10000.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Communication,10000.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Food and Food Service Supplies,7000.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Other Purchased Services,1500.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Pensions,30075.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Other Supplies,15440.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Professional and Technical Services,193695.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Other Ordinary Maintenance,Pupil Transportation,500.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Travel and Training,Dues & Subscriptions,250.00,General Fund
2014,Human Resources and Development,Human Services,Office of Workforce Dev.,Travel and Training,Travel and Training  (In State),10250.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Dental Insurance,12120.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Health Insurance,190900.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Medicare,9275.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Misc. Additional Comp,9500.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Pensions,100250.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Permanent Salaries/Wages,108615.00,CDBG Human Services
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Permanent Salaries/Wages,424945.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Salaries and Wages,Temporary Salaries/Wages,96130.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Administration & Gen Supplies,3200.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Communication,7500.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Food and Food Service Supplies,1500.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Other Property Related Services,95500.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Other Purchased Services,1550.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Other Supplies,3520.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Professional and Technical Services,271000.00,CDBG Human Services
2014,Human Resources and Development,Human Services,Planning and Development,Other Ordinary Maintenance,Professional and Technical Services,478000.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Travel and Training,Dues & Subscriptions,850.00,General Fund
2014,Human Resources and Development,Human Services,Planning and Development,Travel and Training,Travel and Training  (In State),450.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Dental Insurance,18720.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Health Insurance,305500.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Longevity Salaries\Wages,2000.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Medicare,27215.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Misc. Additional Comp,16000.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Pensions,160400.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Permanent Salaries/Wages,962905.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Salaries and Wages,Temporary Salaries/Wages,1030450.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Administration & Gen Supplies,8500.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Communication,7500.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Food and Food Service Supplies,24100.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Other Supplies,61900.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Professional and Technical Services,246800.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Other Ordinary Maintenance,Pupil Transportation,93000.00,General Fund
2014,Human Resources and Development,Human Services,Community Schools,Travel and Training,Travel and Training  (In State),2000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Dental Insurance,10530.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Health Insurance,235930.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Longevity Salaries\Wages,6000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Medicare,16075.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Misc. Additional Comp,9000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Pensions,90225.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Permanent Salaries/Wages,573110.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Salaries and Wages,Temporary Salaries/Wages,838360.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Administration & Gen Supplies,1000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Communication,17500.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Educational Supplies,5000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Energy,4500.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Food and Food Service Supplies,5700.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Other Purchased Services,2000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Other Supplies,33435.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Professional and Technical Services,72150.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Pupil Transportation,1000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Repairs and Maint - Services,9000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Repairs and Maint - Supplies,8000.00,General Fund
2014,Human Resources and Development,Human Services,Recreation,Other Ordinary Maintenance,Vehicle Supplies,2000.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Dental Insurance,14040.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Health Insurance,177380.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Medicare,12325.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Misc. Additional Comp,12000.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Pensions,120300.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Permanent Salaries/Wages,791060.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Salaries and Wages,Temporary Salaries/Wages,46685.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Administration & Gen Supplies,4000.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Communication,10000.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Energy,1300.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Food and Food Service Supplies,7350.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Other Purchased Services,53300.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Other Supplies,9200.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Professional and Technical Services,58500.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Pupil Transportation,12500.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Rentals and Leases,10820.00,General Fund
2014,Human Resources and Development,Human Services,Elderly Services & COA,Other Ordinary Maintenance,Repairs and Maint - Services,3000.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Dental Insurance,33180.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Health Insurance,766410.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Medicare,32870.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Misc. Additional Comp,27210.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Pensions,290725.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Permanent Salaries/Wages,2181485.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries and Wages,Temporary Salaries/Wages,111085.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Administration & Gen Supplies,5830.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Communication,3100.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Educational Supplies,29400.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Food and Food Service Supplies,60095.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Medical Supplies,1195.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Other Supplies,22410.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Professional and Technical Services,4820.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Other Ordinary Maintenance,Pupil Transportation,2100.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Travel and Training,Dues & Subscriptions,3700.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Travel and Training,Travel and Training  (Out of State),6000.00,General Fund
2014,Human Resources and Development,Human Services,Childcare & Family Support Services,Travel and Training,Travel and Training  (In State),7800.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Dental Insurance,3510.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Health Insurance,86290.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Misc. Additional Comp,3000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Permanent Salaries/Wages,250970.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Salaries and Wages,Temporary Salaries/Wages,137745.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Administration & Gen Supplies,1000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Energy,46000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Other Purchased Services,1000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Other Supplies,44770.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Professional and Technical Services,15500.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Repairs and Maint - Services,3000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Other Ordinary Maintenance,Repairs and Maint - Supplies,5000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Travel and Training,Dues & Subscriptions,1800.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Travel and Training,Travel and Training  (Out of State),2000.00,General Fund
2014,Human Resources and Development,Human Services,Golf Course,Extraordinary Expenditures,Additional Equipment,25000.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Dental Insurance,9360.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Health Insurance,190960.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Medicare,7470.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Misc. Additional Comp,8850.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Pensions,80200.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Permanent Salaries/Wages,518330.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Salaries and Wages,Temporary Salaries/Wages,41695.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Other Ordinary Maintenance,Administration & Gen Supplies,4000.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Other Ordinary Maintenance,Communication,1000.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Other Ordinary Maintenance,Food and Food Service Supplies,650.00,General Fund
2014,Human Resources and Development,Human Services,Community Learning Center,Other Ordinary Maintenance,Other Supplies,3000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Dental Insurance,22230.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Health Insurance,363540.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Medicare,27275.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Misc. Additional Comp,19000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Pensions,190475.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Permanent Salaries/Wages,1010025.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Salaries and Wages,Temporary Salaries/Wages,912285.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Administration & Gen Supplies,9600.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Communication,1000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Educational Supplies,3000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Food and Food Service Supplies,29500.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Other Purchased Services,2000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Other Supplies,35400.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Professional and Technical Services,31250.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Pupil Transportation,34500.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Repairs and Maint - Supplies,2000.00,General Fund
2014,Human Resources and Development,Human Services,Youth Programs,Other Ordinary Maintenance,Vehicle Supplies,500.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Dental Insurance,60180.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Health Insurance,875890.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Longevity Salaries\Wages,5700.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Medicare,45300.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Misc. Additional Comp,28850.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Overtime Salaries/Wages,78800.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Pensions,501250.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Permanent Salaries/Wages,3283965.00,General Fund
2014,Human Resources and Development,Library,Main Library,Salaries and Wages,Temporary Salaries/Wages,50000.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Administration & Gen Supplies,111550.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Communication,10455.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Educational Supplies,675285.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Energy,363370.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Food and Food Service Supplies,6350.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Other Property Related Services,176535.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Other Purchased Services,185040.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Other Supplies,68605.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Professional and Technical Services,63500.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Repairs and Maint - Services,153425.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Repairs and Maint - Supplies,58790.00,General Fund
2014,Human Resources and Development,Library,Main Library,Other Ordinary Maintenance,Vehicle Supplies,1700.00,General Fund
2014,Human Resources and Development,Library,Main Library,Travel and Training,Dues & Subscriptions,3350.00,General Fund
2014,Human Resources and Development,Library,Main Library,Travel and Training,Travel and Training  (Out of State),7500.00,General Fund
2014,Human Resources and Development,Library,Main Library,Travel and Training,Travel and Training  (In State),40800.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Dental Insurance,21060.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Health Insurance,281730.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Longevity Salaries\Wages,1700.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Medicare,17475.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Misc. Additional Comp,8425.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Pensions,180450.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Salaries and Wages,Permanent Salaries/Wages,1275855.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Administration & Gen Supplies,11400.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Educational Supplies,155000.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Energy,64720.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Other Property Related Services,34915.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Other Purchased Services,1800.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Professional and Technical Services,6000.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Rentals and Leases,5100.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Repairs and Maint - Services,20575.00,General Fund
2014,Human Resources and Development,Library,Branch Libraries,Other Ordinary Maintenance,Repairs and Maint - Supplies,4000.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Dental Insurance,2340.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Health Insurance,38180.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Medicare,3025.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Misc. Additional Comp,2425.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Pensions,20050.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Salaries and Wages,Permanent Salaries/Wages,205955.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Other Ordinary Maintenance,Administration & Gen Supplies,2000.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Other Ordinary Maintenance,Communication,1800.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Other Ordinary Maintenance,Other Purchased Services,51100.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Travel and Training,Dues & Subscriptions,170.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Travel and Training,Judgments,677000.00,General Fund
2014,Human Resources and Development,Veterans' Services,Administration & Benefits,Travel and Training,Travel and Training  (In State),1330.00,General Fund
2014,Intergovernmental,Cambridge Health Alliance,Cambridge Health Alliance,Other Ordinary Maintenance,Other Supplies,6500000.00,General Fund
2014,Intergovernmental,Cherry Sheet,Cherry Sheet,Other Ordinary Maintenance,Other Supplies,20126950.00,General Fund
2014,Intergovernmental,Massachusetts Water Resources Authority,Massachusetts Water Resources Authority,Other Ordinary Maintenance,Other Supplies,21346815.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Dental Insurance,13800.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Health Insurance,274100.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Medicare,9260.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Misc. Additional Comp,7800.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Pensions,107000.00,General Fund
2015,General Government,City Clerk,Administration,Salaries and Wages,Permanent Salaries/Wages,764215.00,General Fund
2015,General Government,City Clerk,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,17490.00,General Fund
2015,General Government,City Clerk,Administration,Other Ordinary Maintenance,Communication,17330.00,General Fund
2015,General Government,City Clerk,Administration,Other Ordinary Maintenance,Other Supplies,3000.00,General Fund
2015,General Government,City Clerk,Administration,Other Ordinary Maintenance,Professional and Technical Services,8500.00,General Fund
2015,General Government,City Clerk,Administration,Other Ordinary Maintenance,Repairs and Maint - Supplies,9790.00,General Fund
2015,General Government,City Clerk,Administration,Travel and Training,Dues & Subscriptions,420.00,General Fund
2015,General Government,City Clerk,Administration,Travel and Training,Travel and Training  (Out of State),3200.00,General Fund
2015,General Government,City Clerk,Administration,Travel and Training,Travel and Training  (In State),800.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Dental Insurance,12870.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Health Insurance,261450.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Longevity Salaries\Wages,6000.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Medicare,13650.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Misc. Additional Comp,7600.00,General Fund
2015,General Government,City Council,Administration,Salaries and Wages,Pensions,117700.00,General Fund
2015,General Government,City Council,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,14400.00,General Fund
2015,General Government,City Council,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,12500.00,General Fund
2015,General Government,City Council,Administration,Other Ordinary Maintenance,Professional and Technical Services,15000.00,General Fund
2015,General Government,City Council,Administration,Travel and Training,Dues & Subscriptions,19355.00,General Fund
2015,General Government,City Council,Administration,Travel and Training,Travel and Training  (Out of State),40500.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Dental Insurance,6690.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Health Insurance,158150.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Medicare,8165.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Misc. Additional Comp,5410.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Overtime Salaries/Wages,10000.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Pensions,96300.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Permanent Salaries/Wages,435505.00,General Fund
2015,General Government,Election Commission,Election Commission,Salaries and Wages,Temporary Salaries/Wages,155645.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Administration & Gen Supplies,9000.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Communication,127570.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Other Property Related Services,2500.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Other Purchased Services,38510.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Professional and Technical Services,7000.00,General Fund
2015,General Government,Election Commission,Election Commission,Other Ordinary Maintenance,Rentals and Leases,9675.00,General Fund
2015,General Government,Election Commission,Election Commission,Travel and Training,Dues & Subscriptions,150.00,General Fund
2015,General Government,Election Commission,Election Commission,Travel and Training,Travel and Training  (Out of State),2120.00,General Fund
2015,General Government,Employee Benefits,Pensions,Salaries and Wages,Health Insurance,13873170.00,General Fund
2015,General Government,Employee Benefits,Pensions,Salaries and Wages,Pensions,8029075.00,General Fund
2015,General Government,Employee Benefits,Pensions,Salaries and Wages,Permanent Salaries/Wages,1000000.00,General Fund
2015,General Government,Employee Benefits,Insurance,Salaries and Wages,Fringe Benefits,2452585.00,General Fund
2015,General Government,Employee Benefits,Insurance,Salaries and Wages,Health Insurance,250000.00,General Fund
2015,General Government,Employee Benefits,Insurance,Salaries and Wages,Medicare,100000.00,General Fund
2015,General Government,Employee Benefits,Insurance,Other Ordinary Maintenance,Administration & Gen Supplies,411820.00,General Fund
2015,General Government,Employee Benefits,Insurance,Other Ordinary Maintenance,Other Purchased Services,419980.00,General Fund
2015,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Dental Insurance,300000.00,General Fund
2015,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Misc. Additional Comp,106685.00,General Fund
2015,General Government,Employee Benefits,Collective Bargaining,Salaries and Wages,Permanent Salaries/Wages,3891470.00,General Fund
2015,General Government,Employee Benefits,Collective Bargaining,Other Ordinary Maintenance,Professional and Technical Services,17880.00,General Fund
